epoch,alpha,beta,gamma,tv,train_avg_loss,train_loss,train_nss,train_cc,train_kl,train_aucj,train_sauc,val_loss,val_nss,val_cc,val_kl,val_aucj,val_sauc
1,0.5030,0.0500,0.0100,0.0010,1.0199,0.6359,1.328,0.710,0.506,0.806,0.739,0.6193,1.460,0.714,0.509,0.824,0.762
2,0.5060,0.0500,0.0100,0.0010,0.8292,0.5215,1.398,0.742,0.397,0.815,0.751,0.5042,1.522,0.743,0.395,0.834,0.765
3,0.5090,0.0500,0.0100,0.0010,0.7982,0.4671,1.524,0.786,0.353,0.828,0.757,0.4720,1.617,0.770,0.372,0.843,0.780
4,0.5120,0.0500,0.0100,0.0010,0.8626,0.4292,1.553,0.803,0.318,0.832,0.762,0.4364,1.637,0.786,0.336,0.845,0.777
5,0.5150,0.0500,0.0100,0.0010,0.7511,0.3980,1.586,0.817,0.290,0.836,0.765,0.4139,1.665,0.797,0.316,0.848,0.777
6,0.5180,0.0500,0.0100,0.0010,0.7140,0.3874,1.608,0.826,0.281,0.837,0.763,0.4094,1.668,0.800,0.312,0.848,0.778
7,0.5210,0.0500,0.0100,0.0010,0.7190,0.3844,1.621,0.835,0.279,0.840,0.768,0.4145,1.681,0.808,0.318,0.850,0.774
8,0.5240,0.0500,0.0100,0.0010,0.6801,0.3602,1.637,0.846,0.256,0.841,0.771,0.3947,1.675,0.813,0.297,0.849,0.784
9,0.5270,0.0500,0.0100,0.0010,0.6931,0.3485,1.637,0.854,0.245,0.843,0.767,0.3884,1.665,0.818,0.290,0.849,0.777
10,0.5300,0.0500,0.0100,0.0010,0.6995,0.3306,1.718,0.862,0.233,0.848,0.773,0.3853,1.713,0.813,0.291,0.852,0.779
11,0.5330,0.0500,0.0100,0.0010,0.6871,0.3197,1.705,0.870,0.221,0.848,0.774,0.3806,1.704,0.820,0.286,0.851,0.780
12,0.5360,0.0500,0.0100,0.0010,0.6514,0.3114,1.706,0.876,0.212,0.849,0.775,0.3845,1.691,0.820,0.288,0.851,0.778
13,0.5390,0.0500,0.0100,0.0010,0.6829,0.3087,1.718,0.879,0.210,0.849,0.774,0.3927,1.693,0.816,0.297,0.851,0.776
14,0.5420,0.0500,0.0100,0.0010,0.6515,0.3123,1.700,0.881,0.213,0.850,0.773,0.3981,1.656,0.816,0.295,0.849,0.772
15,0.5450,0.0500,0.0100,0.0010,0.7405,0.2772,1.774,0.896,0.183,0.856,0.779,0.3859,1.712,0.816,0.291,0.853,0.774
16,0.5480,0.0500,0.0100,0.0010,0.6390,0.2705,1.799,0.900,0.177,0.857,0.782,0.3952,1.726,0.813,0.302,0.852,0.781
17,0.5510,0.0500,0.0100,0.0010,0.6801,0.2641,1.783,0.906,0.170,0.857,0.782,0.3867,1.700,0.821,0.290,0.852,0.780
18,0.5540,0.0500,0.0100,0.0010,0.6339,0.2571,1.813,0.910,0.165,0.859,0.784,0.3966,1.722,0.818,0.304,0.853,0.779
19,0.5570,0.0500,0.0100,0.0010,0.6339,0.2453,1.819,0.917,0.153,0.860,0.784,0.3890,1.703,0.820,0.291,0.851,0.779
20,0.5600,0.0500,0.0100,0.0010,0.5987,0.2404,1.828,0.921,0.149,0.861,0.786,0.3887,1.704,0.818,0.290,0.852,0.777
21,0.5630,0.0500,0.0100,0.0010,0.6708,0.2379,1.833,0.922,0.147,0.862,0.785,0.3970,1.722,0.817,0.301,0.853,0.776
