epoch,alpha,beta,gamma,tv,train_avg_loss,train_loss,train_nss,train_cc,train_kl,train_aucj,train_sauc,val_loss,val_nss,val_cc,val_kl,val_aucj,val_sauc
1,0.5030,0.0500,0.0100,0.0010,0.4797,0.3689,1.647,0.836,0.265,0.843,0.752,0.3950,1.713,0.812,0.296,0.854,0.764
2,0.5060,0.0500,0.0100,0.0010,0.3563,0.3129,1.762,0.867,0.221,0.855,0.767,0.3607,1.768,0.828,0.267,0.860,0.768
3,0.5090,0.0500,0.0100,0.0010,0.3136,0.2825,1.834,0.889,0.195,0.858,0.773,0.3795,1.803,0.819,0.287,0.861,0.769
4,0.5120,0.0500,0.0100,0.0010,0.2777,0.2468,1.852,0.909,0.162,0.860,0.779,0.3372,1.810,0.842,0.247,0.862,0.774
5,0.5150,0.0500,0.0100,0.0010,0.2498,0.2192,1.880,0.929,0.137,0.864,0.783,0.3334,1.813,0.846,0.244,0.863,0.770
6,0.5180,0.0500,0.0100,0.0010,0.2262,0.2070,1.889,0.937,0.126,0.865,0.787,0.3407,1.792,0.842,0.248,0.859,0.770
7,0.5210,0.0500,0.0100,0.0010,0.2088,0.1898,1.893,0.945,0.109,0.867,0.791,0.3332,1.800,0.844,0.242,0.861,0.778
8,0.5240,0.0500,0.0100,0.0010,0.1955,0.1814,1.881,0.950,0.100,0.867,0.790,0.3399,1.762,0.844,0.245,0.859,0.776
9,0.5270,0.0500,0.0100,0.0010,0.1819,0.1739,1.914,0.954,0.094,0.870,0.792,0.3533,1.796,0.839,0.260,0.861,0.773
10,0.5300,0.0500,0.0100,0.0010,0.1736,0.1646,1.947,0.959,0.087,0.872,0.796,0.3620,1.810,0.840,0.270,0.861,0.775
11,0.5330,0.0500,0.0100,0.0010,0.1647,0.1575,1.925,0.962,0.079,0.872,0.801,0.3575,1.782,0.843,0.264,0.860,0.780
12,0.5360,0.0500,0.0100,0.0010,0.1562,0.1493,1.946,0.967,0.072,0.873,0.800,0.3535,1.790,0.843,0.259,0.859,0.776
13,0.5390,0.0500,0.0100,0.0010,0.1490,0.1427,1.956,0.969,0.066,0.875,0.802,0.3585,1.777,0.838,0.263,0.860,0.766
14,0.5420,0.0500,0.0100,0.0010,0.1436,0.1359,1.973,0.972,0.060,0.877,0.803,0.3656,1.791,0.839,0.270,0.860,0.768
15,0.5450,0.0500,0.0100,0.0010,0.1372,0.1326,1.981,0.974,0.057,0.877,0.804,0.3728,1.793,0.840,0.277,0.859,0.774
16,0.5480,0.0500,0.0100,0.0010,0.1322,0.1299,2.003,0.975,0.055,0.879,0.808,0.3797,1.806,0.840,0.285,0.860,0.775
17,0.5510,0.0500,0.0100,0.0010,0.1271,0.1260,1.966,0.976,0.048,0.878,0.806,0.3674,1.775,0.840,0.270,0.859,0.769
18,0.5540,0.0500,0.0100,0.0010,0.1237,0.1198,2.037,0.978,0.046,0.881,0.811,0.3776,1.828,0.838,0.283,0.861,0.775
19,0.5570,0.0500,0.0100,0.0010,0.1212,0.1180,2.009,0.980,0.042,0.880,0.806,0.3802,1.798,0.840,0.283,0.859,0.777
20,0.5600,0.0500,0.0100,0.0010,0.1173,0.1169,1.988,0.981,0.040,0.880,0.808,0.3774,1.771,0.842,0.278,0.858,0.772
21,0.5630,0.0500,0.0100,0.0010,0.1138,0.1118,2.001,0.983,0.035,0.882,0.810,0.3727,1.785,0.843,0.274,0.859,0.770
22,0.5660,0.0500,0.0100,0.0010,0.1123,0.1090,2.031,0.983,0.034,0.883,0.813,0.3837,1.797,0.840,0.285,0.860,0.775
23,0.5690,0.0500,0.0100,0.0010,0.1098,0.1088,2.006,0.984,0.032,0.882,0.813,0.3702,1.780,0.843,0.271,0.858,0.774
24,0.5720,0.0500,0.0100,0.0010,0.1075,0.1032,2.055,0.985,0.029,0.885,0.816,0.3794,1.815,0.838,0.282,0.861,0.778
25,0.5750,0.0500,0.0100,0.0010,0.1055,0.1054,2.045,0.985,0.030,0.885,0.815,0.3817,1.794,0.837,0.282,0.858,0.768
26,0.5780,0.0500,0.0100,0.0010,0.1053,0.1014,2.048,0.987,0.026,0.886,0.817,0.3876,1.812,0.840,0.289,0.860,0.772
27,0.5810,0.0500,0.0100,0.0010,0.1039,0.0999,2.049,0.988,0.024,0.886,0.816,0.3798,1.796,0.840,0.279,0.859,0.767
28,0.5840,0.0500,0.0100,0.0010,0.1013,0.0986,2.054,0.989,0.023,0.886,0.816,0.3833,1.797,0.841,0.282,0.859,0.769
