epoch,alpha,beta,gamma,tv,train_avg_loss,train_loss,train_nss,train_cc,train_kl,train_aucj,train_sauc,val_loss,val_nss,val_cc,val_kl,val_aucj,val_sauc
1,0.5030,0.0500,0.0100,0.0010,1.7346,1.2417,0.341,0.213,0.984,0.598,0.526,1.2764,0.339,0.211,1.008,0.594,0.521
2,0.5060,0.0500,0.0100,0.0010,1.6373,1.2385,0.349,0.216,0.981,0.597,0.526,1.2710,0.355,0.215,1.004,0.595,0.520
3,0.5090,0.0500,0.0100,0.0010,1.6602,1.2375,0.349,0.218,0.979,0.616,0.540,1.2706,0.350,0.217,1.002,0.611,0.522
4,0.5120,0.0500,0.0100,0.0010,1.7103,1.2374,0.349,0.219,0.978,0.616,0.546,1.2700,0.351,0.218,1.000,0.616,0.533
5,0.5150,0.0500,0.0100,0.0010,1.7073,1.2388,0.348,0.219,0.978,0.597,0.523,1.2704,0.351,0.218,1.000,0.588,0.504
6,0.5180,0.0500,0.0100,0.0010,1.7376,1.2399,0.353,0.220,0.978,0.592,0.519,1.2724,0.357,0.219,1.001,0.584,0.509
7,0.5210,0.0500,0.0100,0.0010,1.6624,1.2263,0.382,0.233,0.968,0.610,0.535,1.2484,0.408,0.240,0.986,0.596,0.528
8,0.5240,0.0500,0.0100,0.0010,1.9224,1.2365,0.365,0.226,0.974,0.651,0.558,1.2695,0.367,0.226,0.997,0.651,0.557
9,0.5270,0.0500,0.0100,0.0010,1.7560,1.3319,0.660,0.340,1.108,0.687,0.591,1.2255,0.761,0.370,0.990,0.702,0.610
10,0.5300,0.0500,0.0100,0.0010,1.7621,1.2114,0.427,0.254,0.956,0.674,0.579,1.2367,0.454,0.264,0.975,0.690,0.598
11,0.5330,0.0500,0.0100,0.0010,1.7616,1.1276,0.606,0.337,0.898,0.710,0.582,1.1637,0.611,0.333,0.928,0.720,0.587
12,0.5360,0.0500,0.0100,0.0010,1.7608,0.9514,0.912,0.465,0.761,0.737,0.612,0.9597,0.974,0.477,0.782,0.749,0.629
13,0.5390,0.0500,0.0100,0.0010,1.6638,0.8250,1.016,0.528,0.647,0.767,0.639,0.8269,1.084,0.540,0.652,0.776,0.646
14,0.5420,0.0500,0.0100,0.0010,1.5119,0.9476,0.852,0.452,0.746,0.736,0.609,0.9528,0.899,0.463,0.755,0.747,0.629
15,0.5450,0.0500,0.0100,0.0010,1.5512,0.7713,1.117,0.568,0.604,0.779,0.664,0.7804,1.194,0.577,0.614,0.789,0.681
16,0.5480,0.0500,0.0100,0.0010,1.5660,0.7391,1.151,0.589,0.576,0.788,0.662,0.7498,1.222,0.596,0.592,0.797,0.684
17,0.5510,0.0500,0.0100,0.0010,1.5921,0.7424,1.154,0.591,0.578,0.787,0.664,0.7665,1.210,0.588,0.608,0.794,0.679
18,0.5540,0.0500,0.0100,0.0010,1.6326,0.7303,1.216,0.615,0.572,0.790,0.682,0.7521,1.289,0.611,0.601,0.800,0.699
19,0.5570,0.0500,0.0100,0.0010,1.5636,0.6940,1.246,0.625,0.539,0.795,0.677,0.7067,1.319,0.625,0.560,0.805,0.693
20,0.5600,0.0500,0.0100,0.0010,1.5441,0.7509,1.206,0.596,0.588,0.782,0.680,0.7804,1.260,0.593,0.617,0.790,0.696
21,0.5630,0.0500,0.0100,0.0010,1.4036,0.6907,1.259,0.631,0.535,0.795,0.685,0.7216,1.319,0.623,0.574,0.802,0.691
22,0.5660,0.0500,0.0100,0.0010,1.6135,0.6655,1.277,0.649,0.512,0.797,0.684,0.6952,1.335,0.637,0.549,0.804,0.691
23,0.5690,0.0500,0.0100,0.0010,1.5313,0.6521,1.268,0.654,0.498,0.798,0.683,0.6814,1.317,0.640,0.531,0.807,0.692
24,0.5720,0.0500,0.0100,0.0010,1.4696,0.6594,1.322,0.665,0.509,0.801,0.695,0.7067,1.354,0.640,0.562,0.807,0.708
25,0.5750,0.0500,0.0100,0.0010,1.6008,0.6351,1.328,0.669,0.486,0.804,0.692,0.6886,1.321,0.632,0.543,0.807,0.693
26,0.5780,0.0500,0.0100,0.0010,1.5094,0.6204,1.361,0.685,0.475,0.806,0.693,0.6517,1.415,0.668,0.515,0.812,0.703
27,0.5810,0.0500,0.0100,0.0010,1.4058,0.5905,1.393,0.701,0.448,0.811,0.700,0.6392,1.397,0.666,0.499,0.814,0.703
28,0.5840,0.0500,0.0100,0.0010,1.7279,0.6192,1.378,0.684,0.473,0.805,0.705,0.6782,1.368,0.639,0.535,0.806,0.703
29,0.5870,0.0500,0.0100,0.0010,1.6030,0.6055,1.425,0.704,0.463,0.813,0.708,0.6719,1.440,0.669,0.536,0.819,0.714
