epoch,alpha,beta,gamma,tv,train_avg_loss,train_loss,train_nss,train_cc,train_kl,train_aucj,train_sauc,val_loss,val_nss,val_cc,val_kl,val_aucj,val_sauc
1,0.5030,0.0500,0.0100,0.0010,2.2197,0.6592,1.240,0.659,0.514,0.798,0.733,0.6298,1.393,0.677,0.495,0.821,0.755
2,0.5060,0.0500,0.0100,0.0010,1.7903,0.6323,1.348,0.694,0.490,0.807,0.743,0.6094,1.494,0.703,0.489,0.828,0.768
3,0.5090,0.0500,0.0100,0.0010,1.6754,0.5696,1.325,0.701,0.424,0.815,0.749,0.5474,1.463,0.715,0.409,0.837,0.770
4,0.5120,0.0500,0.0100,0.0010,1.9132,0.5475,1.433,0.739,0.413,0.822,0.755,0.5223,1.570,0.746,0.402,0.843,0.778
5,0.5150,0.0500,0.0100,0.0010,1.8859,0.5082,1.459,0.753,0.379,0.824,0.759,0.4859,1.591,0.761,0.372,0.844,0.778
6,0.5180,0.0500,0.0100,0.0010,1.7766,0.4672,1.546,0.784,0.348,0.827,0.758,0.4468,1.643,0.786,0.336,0.845,0.776
7,0.5210,0.0500,0.0100,0.0010,1.6321,0.4995,1.509,0.773,0.373,0.830,0.759,0.4812,1.627,0.777,0.364,0.848,0.777
8,0.5240,0.0500,0.0100,0.0010,1.8500,0.4610,1.556,0.786,0.340,0.832,0.760,0.4526,1.657,0.783,0.340,0.849,0.778
9,0.5270,0.0500,0.0100,0.0010,1.6516,0.4436,1.614,0.797,0.328,0.834,0.761,0.4408,1.691,0.782,0.337,0.849,0.782
10,0.5300,0.0500,0.0100,0.0010,1.8072,0.4896,1.415,0.758,0.350,0.825,0.756,0.4755,1.531,0.766,0.344,0.842,0.776
11,0.5330,0.0500,0.0100,0.0010,2.0305,0.4462,1.507,0.795,0.322,0.827,0.760,0.4333,1.603,0.792,0.318,0.844,0.775
12,0.5360,0.0500,0.0100,0.0010,1.8171,0.4215,1.581,0.812,0.305,0.832,0.762,0.4237,1.646,0.800,0.314,0.846,0.776
13,0.5390,0.0500,0.0100,0.0010,1.8429,0.4425,1.595,0.802,0.322,0.834,0.763,0.4461,1.667,0.785,0.337,0.848,0.783
14,0.5420,0.0500,0.0100,0.0010,1.7445,0.4147,1.591,0.818,0.297,0.834,0.764,0.4140,1.668,0.806,0.304,0.849,0.779
15,0.5450,0.0500,0.0100,0.0010,1.9037,0.4221,1.640,0.811,0.306,0.839,0.767,0.4388,1.715,0.789,0.337,0.851,0.778
16,0.5480,0.0500,0.0100,0.0010,1.6503,0.4084,1.571,0.821,0.288,0.835,0.763,0.4163,1.648,0.809,0.303,0.848,0.778
17,0.5510,0.0500,0.0100,0.0010,2.0182,0.4039,1.644,0.828,0.287,0.839,0.767,0.4203,1.707,0.804,0.313,0.850,0.778
18,0.5540,0.0500,0.0100,0.0010,1.8625,0.4125,1.612,0.820,0.294,0.839,0.762,0.4208,1.681,0.803,0.311,0.852,0.784
